goos: linux
goarch: amd64
pkg: github.com/marselester/systemd
cpu: Intel(R) Core(TM) i5-10600 CPU @ 3.30GHz
BenchmarkDecodeHeader-2      	 3652474	       327.9 ns/op	      15 B/op	       0 allocs/op
BenchmarkDecodeHeader-2      	 3532466	       333.3 ns/op	      15 B/op	       0 allocs/op
BenchmarkDecodeHeader-2      	 3179929	       333.6 ns/op	      15 B/op	       0 allocs/op
BenchmarkDecodeHeader-2      	 3656196	       337.5 ns/op	      15 B/op	       0 allocs/op
BenchmarkDecodeHeader-2      	 3567865	       366.9 ns/op	      15 B/op	       0 allocs/op
BenchmarkDecodeHeader-2      	 3524290	       329.3 ns/op	      15 B/op	       0 allocs/op
BenchmarkDecodeHeader-2      	 3684531	       326.5 ns/op	      15 B/op	       0 allocs/op
BenchmarkDecodeHeader-2      	 3699134	       339.6 ns/op	      15 B/op	       0 allocs/op
BenchmarkDecodeHeader-2      	 3526197	       332.1 ns/op	      15 B/op	       0 allocs/op
BenchmarkDecodeHeader-2      	 3682948	       332.9 ns/op	      15 B/op	       0 allocs/op
BenchmarkDecodeHeader-2      	 3614863	       347.6 ns/op	      15 B/op	       0 allocs/op
BenchmarkDecodeHeader-2      	 3717891	       327.9 ns/op	      15 B/op	       0 allocs/op
BenchmarkDecodeHeader-2      	 3650805	       325.8 ns/op	      15 B/op	       0 allocs/op
BenchmarkDecodeHeader-2      	 3647136	       341.1 ns/op	      15 B/op	       0 allocs/op
BenchmarkDecodeHeader-2      	 3562483	       338.8 ns/op	      15 B/op	       0 allocs/op
BenchmarkDecodeHeader-2      	 3604590	       365.7 ns/op	      15 B/op	       0 allocs/op
BenchmarkDecodeHeader-2      	 3638678	       332.5 ns/op	      15 B/op	       0 allocs/op
BenchmarkDecodeHeader-2      	 3605035	       339.7 ns/op	      15 B/op	       0 allocs/op
BenchmarkDecodeHeader-2      	 3605854	       366.1 ns/op	      15 B/op	       0 allocs/op
BenchmarkEncodeHeader-2      	 6326092	       188.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHeader-2      	 6488109	       185.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHeader-2      	 6368150	       187.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHeader-2      	 6443775	       189.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHeader-2      	 6377914	       188.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHeader-2      	 6472507	       186.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHeader-2      	 6333296	       188.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHeader-2      	 6373194	       184.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHeader-2      	 5754969	       187.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHeader-2      	 6473778	       188.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHeader-2      	 6503784	       185.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHeader-2      	 6360025	       190.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHeader-2      	 6350853	       188.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHeader-2      	 6420943	       189.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHeader-2      	 6487201	       188.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHeader-2      	 6521725	       185.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHeader-2      	 6387550	       183.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHeader-2      	 6405547	       188.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHeader-2      	 6368097	       188.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHeader-2      	 6470262	       188.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHeader-2      	 6382933	       184.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHeader-2      	 6347146	       183.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHeader-2      	 6447170	       191.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHeader-2      	 6425811	       184.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHeader-2      	 6370952	       185.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHeader-2      	 6459034	       185.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHeader-2      	 5819203	       188.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHeader-2      	 6328284	       184.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHeader-2      	 6537040	       188.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkEncodeHeader-2      	 6428145	       184.2 ns/op	       0 B/op	       0 allocs/op
